Gender,ParentMaritalStatus,Maths,Reading,Writing
female,married,71,71,74
female,married,69,90,88
female,single,87,93,91
male,married,45,56,42
male,married,76,78,75
female,married,73,84,79
female,widowed,85,93,89
male,married,41,43,39
male,single,65,64,68
female,married,37,59,50
male,,58,54,52
male,divorced,40,52,43
female,married,66,82,74
male,single,80,73,71
female,divorced,48,53,58
female,married,69,75,78
male,married,88,89,86
female,divorced,18,32,28
male,single,46,42,47
female,married,50,56,58
male,married,66,69,63
female,married,65,75,70
male,married,42,53,51
female,divorced,66,71,71
male,married,74,71,80
male,married,75,76,76
male,married,66,53,53
female,married,69,70,76
male,married,70,70,65
female,single,66,72,72
female,single,63,65,61
female,divorced,56,73,66
male,married,40,42,38
male,divorced,97,87,82
male,single,81,81,79
female,married,76,82,85
female,married,51,64,60
female,married,77,91,90
male,single,58,56,58
male,married,53,60,52
female,divorced,59,74,69
male,married,60,65,67
female,married,48,55,52
male,single,63,53,55
female,married,67,72,77
male,married,82,84,82
male,married,54,55,48
male,married,76,68,68
male,divorced,56,45,43
male,single,88,78,75
female,married,75,86,90
female,divorced,33,41,43
female,married,84,86,87
male,single,52,55,49
male,married,61,60,60
female,single,0,17,10
male,married,39,39,34
male,married,62,61,55
female,married,59,58,59
male,married,63,62,58
male,married,45,37,37
female,married,61,73,75
male,divorced,62,58,57
female,single,39,64,57
male,divorced,64,55,64
female,single,42,51,49
male,divorced,59,56,54
male,married,47,48,40
male,divorced,44,41,38
male,,28,25,21
male,,82,79,83
female,divorced,62,75,73
female,divorced,60,68,68
female,married,49,50,52
male,married,49,45,45
male,married,50,47,54
male,married,74,64,64
male,married,40,38,33
female,divorced,73,80,82
female,married,73,81,86
female,single,71,71,74
female,divorced,57,69,67
female,single,75,87,83
male,divorced,27,34,36
male,divorced,68,77,69
male,married,45,46,52
female,married,81,87,94
male,married,63,65,61
female,married,59,69,66
female,single,61,69,64
female,married,64,66,62
male,married,79,67,67
male,single,68,74,74
female,married,87,92,91
male,married,61,44,48
male,married,100,88,94
female,married,58,67,72
female,married,87,100,100
male,single,66,63,64
female,married,52,76,70
female,single,72,64,73
female,single,79,90,99
male,single,63,55,50
male,married,54,53,47
female,married,47,56,51
female,married,98,99,100
male,married,84,77,74
female,single,72,83,79
female,married,75,80,77
female,single,54,64,63
female,divorced,55,69,65
female,married,76,90,86
male,married,88,87,90
female,single,90,94,95
male,married,63,57,56
male,single,82,79,73
female,single,86,94,85
male,married,72,68,67
male,married,64,76,74
male,single,77,81,72
female,,52,49,52
male,single,87,84,82
male,single,52,36,40
male,married,89,75,71
female,married,70,78,80
male,married,76,80,76
male,married,56,54,47
male,divorced,51,54,41
male,divorced,67,54,54
female,married,59,66,67
male,married,73,61,70
female,married,76,72,71
female,married,60,62,65
female,single,41,54,54
male,single,57,43,47
male,divorced,90,74,79
female,single,21,38,33
female,married,65,73,79
male,married,100,100,95
male,married,62,67,69
female,single,57,68,64
male,married,54,49,47
male,single,58,65,58
female,married,69,88,88
female,married,67,75,79
male,,58,59,58
female,divorced,62,87,89
male,married,70,63,66
male,single,82,78,74
female,married,75,88,85
male,single,48,53,52
male,divorced,52,53,49
female,married,76,89,86
female,married,96,100,100
male,single,53,51,51
female,married,62,79,83
female,married,70,84,79
male,divorced,76,75,77
male,married,91,86,76
female,single,76,84,78
female,married,63,67,70
female,married,41,50,52
female,divorced,81,92,89
female,married,44,53,56
female,married,70,76,77
female,divorced,54,72,65
female,divorced,99,100,100
male,single,60,68,75
female,single,46,64,66
female,married,50,50,47
female,single,63,67,68
male,married,61,65,62
male,married,75,73,62
male,married,62,66,68
male,married,47,51,45
female,single,74,86,85
female,married,66,65,69
male,married,73,81,77
female,single,62,64,66
male,married,79,62,63
female,,69,85,87
male,married,60,54,52
male,married,57,67,63
male,married,56,56,52
female,widowed,47,54,57
female,married,80,80,77
female,single,66,83,86
female,divorced,63,79,75
male,married,69,77,69
female,,58,70,69
male,single,58,40,42
male,married,71,69,76
male,married,84,62,63
male,married,83,81,77
female,married,73,80,76
female,single,58,61,66
male,widowed,77,77,77
male,married,35,28,27
female,divorced,42,62,60
male,single,61,51,57
male,married,87,91,81
male,,86,84,76
female,married,80,84,86
female,married,33,41,39
male,married,64,75,68
male,single,59,55,54
female,widowed,57,69,75
male,married,89,86,74
female,divorced,55,65,62
male,married,88,81,76
female,divorced,55,67,76
female,married,43,55,52
female,married,72,72,71
male,single,58,50,55
male,divorced,68,72,64
female,married,93,97,98
male,married,78,64,67
male,married,47,43,43
female,married,67,86,83
male,divorced,94,88,79
male,married,85,83,85
male,married,84,77,80
male,divorced,62,65,67
female,married,62,59,72
male,married,57,53,53
male,,84,80,80
male,divorced,75,69,67
female,single,82,84,85
male,single,58,50,43
male,divorced,74,73,69
male,married,82,74,69
male,married,91,77,75
female,single,58,70,68
female,married,63,63,60
male,married,70,60,54
male,single,47,49,49
female,married,70,82,83
female,single,60,70,70
male,married,80,80,72
male,married,54,52,52
female,single,62,73,70
female,single,62,71,66
male,married,80,78,78
female,married,65,80,78
male,married,79,79,78
female,married,45,50,52
female,single,99,93,90
male,married,76,73,68
male,divorced,57,41,40
female,married,61,73,79
female,married,71,73,78
female,married,93,94,99
female,married,71,76,70
male,married,69,63,61
male,single,57,48,42
female,single,48,53,59
female,married,65,70,71
male,widowed,85,83,74
male,married,83,78,73
female,married,82,90,91
female,single,57,62,73
female,married,65,86,80
male,widowed,73,56,57
male,divorced,45,48,46
female,divorced,75,80,86
female,,67,76,76
female,married,36,45,46
male,married,78,80,79
male,married,99,83,90
female,married,64,87,80
male,single,85,73,74
male,married,79,77,78
male,married,76,70,68
male,married,83,71,68
male,married,61,59,55
female,married,66,74,76
male,single,80,78,82
male,married,66,61,59
male,widowed,47,41,44
male,single,73,75,69
male,single,39,45,50
male,married,89,86,75
male,married,76,75,77
male,divorced,55,53,52
female,single,66,83,80
male,married,82,77,65
female,married,76,76,85
male,,69,67,69
male,divorced,100,88,83
male,single,52,52,45
female,married,56,73,70
female,single,48,56,52
female,married,73,76,80
male,married,62,58,54
male,single,67,61,68
female,single,70,68,70
male,married,73,66,66
female,widowed,74,80,88
male,single,83,72,78
male,married,61,69,67
female,single,55,64,63
female,divorced,64,77,82
female,married,74,85,78
female,married,70,80,80
female,married,40,52,51
female,divorced,39,45,42
female,single,82,90,94
male,married,61,61,62
male,married,29,23,19
male,married,82,75,77
female,married,39,54,49
male,single,70,59,61
male,,45,36,34
male,married,61,55,52
male,single,90,78,81
female,,83,93,95
female,married,62,69,67
male,married,78,71,70
male,single,50,51,44
female,single,23,37,26
female,married,35,55,60
male,married,61,62,54
female,married,62,74,64
